Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.5833333	0.6400955	2.0	0.0	350.0	-0.05229151	0.2270978	0.36670002	-0.512739	10000	-0.014040064	0.22399426	-0.0016626803	-0.044944383	1.4305023	0.015518084	0.0298	0.0	45.88432288169861
1	0.5833333	0.6400955	2.0	0.0	350.0	-0.033739634	0.050715253	0.056415483	-0.15038608	20000	-0.02462482	0.19056624	-0.003242909	-0.008391756	1.3934174	-0.0369363	0.0289	79.0	88.11044144630432
2	0.7083333	0.7347997	2.0	0.0	350.0	-0.008749789	0.08136081	0.081557214	-0.20352682	30000	-0.039167166	0.14792073	-0.0017097223	-0.012804627	1.3778722	-0.042080957	0.0282	79.0	129.93495225906372
3	0.625	0.6332785	2.0	0.0	350.0	0.061078005	0.053716566	0.17640771	-0.01858046	40000	0.004382712	0.123815894	0.00013256469	-0.0065972926	1.4019276	0.00992863	0.0	0.0	158.16754484176636
4	0.5416667	0.49826086	1.0	0.0	350.0	0.017752362	0.062826075	0.10426495	-0.11568474	50000	-0.0060872147	0.15187067	-0.0008319175	-0.0064776475	1.3518587	-0.025383856	0.0	79.0	200.1465082168579
5	0.6666667	0.47140452	1.0	0.0	350.0	0.005713082	0.05590717	0.107652396	-0.076352924	60000	-0.024148881	0.15372589	-0.0006316026	-0.005236769	1.3725991	-0.031914346	0.0	79.0	242.00410437583923
6	0.5833333	0.5713045	2.0	0.0	350.0	0.04421126	0.0420154	0.116317965	-0.008259529	70000	-0.0044906144	0.14861259	-0.0012604975	-0.0041225897	1.3834695	-0.024166385	0.0	79.0	284.0414912700653
7	0.5833333	0.7021792	2.0	0.0	350.0	0.022282943	0.062231407	0.15078542	-0.058051273	80000	-0.0010624137	0.151369	-0.001358379	-0.011708859	1.3975476	0.009958384	0.0	59.0	322.6804609298706
8	0.41666666	0.49300665	1.0	0.0	350.0	-0.0077057085	0.11637422	0.18168703	-0.2098423	90000	-0.009461226	0.13260981	-0.0009025346	-0.015421826	1.3744714	-0.017745975	0.0	79.0	364.31789445877075
9	0.5	0.57735026	2.0	0.0	350.0	-0.022315215	0.064754866	0.082189724	-0.12218415	100000	-0.027562032	0.12338251	-0.0009757877	-0.006942959	1.3789101	-0.023354046	0.0	79.0	406.08452820777893
10	0.41666666	0.49300668	1.0	0.0	350.0	0.024284028	0.07732941	0.1430437	-0.13954464	110000	0.005561092	0.17512448	7.7609846e-05	-0.013465502	1.4021055	0.015109824	0.0	0.0	439.0192699432373
11	0.625	0.69597054	3.0	0.0	350.0	-0.043442845	0.022085631	-0.0038407426	-0.071458936	120000	-0.021760985	0.15112293	-0.0017714996	-0.0070736734	1.3949842	-0.030833079	0.125	79.0	480.4369342327118
12	0.6666667	0.5527708	2.0	0.0	350.0	-0.015980164	0.0658929	0.08957034	-0.12790723	130000	-0.034102794	0.1523031	3.089616e-05	-0.011402292	1.4259446	0.042433448	0.0416	0.0	508.30274271965027
13	0.5833333	0.49300665	1.0	0.0	350.0	0.050745685	0.0753098	0.12231015	-0.093083784	140000	-0.021358779	0.16445982	-0.0023357365	-0.007400627	1.368525	-0.053778864	0.0288	79.0	549.7501530647278
14	0.5833333	0.57130456	2.0	0.0	350.0	0.088640116	0.06611626	0.16269454	-0.0431118	150000	0.006012939	0.13031076	-0.0029481312	-0.010705501	1.3844662	0.0022740792	0.0578	52.0	586.6564617156982
15	0.5	0.57735026	2.0	0.0	350.0	0.040713873	0.09492591	0.27740556	-0.058243297	160000	-0.0051131756	0.1797382	-0.00056358165	-0.018515086	1.3687032	-0.029343892	0.0566	79.0	628.1544678211212
16	0.7083333	0.6109533	2.0	0.0	350.0	-0.009263429	0.07975154	0.08298053	-0.20065305	170000	-0.01859377	0.1384722	-0.0011801801	-0.0024288078	1.3942289	-0.020607356	0.056500003	79.0	669.6043872833252
17	0.9166667	0.7021791	2.0	0.0	350.0	0.017143182	0.078734845	0.14715509	-0.149224	180000	-0.023794971	0.19245964	-0.0001221699	-0.009727449	1.4330666	0.047475174	0.0	0.0	697.3367195129395
