Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	0.25438598	0.43551555	1.0	0.0	8.745614	0.28449583	0.0015385008	0.28505042	0.2802053	28000	0.056857787	0.16672254	-0.0072575584	-0.0038948953	0.6012074	0.036023233	0.0	8.0	31.926119089126587
28	0.33043477	0.4703697	1.0	0.0	8.669565	0.22172113	0.0014664717	0.22225234	0.2176537	29000	-0.06644684	0.19806369	-0.008920975	-0.004764974	0.6656104	-0.15284501	0.0	79.0	33.24596333503723
29	0.22807017	0.4195881	1.0	0.0	8.77193	0.29176688	0.0014871347	0.29230034	0.28760988	30000	0.10082673	0.15940192	-0.028198496	-0.008731976	0.5396324	0.057417788	0.0	10.0	34.45777750015259
30	0.28070176	0.44934204	1.0	0.0	8.719298	0.19895306	0.0013371764	0.1994351	0.19522734	31000	-0.04232652	0.17602295	0.0010422543	-0.0021585375	0.7353853	0.06730455	0.0	0.0	36.07083225250244
31	0.28947368	0.45351815	1.0	0.0	8.710526	0.2456515	0.0013612467	0.24614224	0.24185789	32000	-0.00995871	0.17733817	0.0002200231	-6.2957406e-05	0.76031744	0.09247069	0.0	0.0	37.05561447143555
32	0.23684211	0.4251446	1.0	0.0	8.763158	0.25366324	0.001362668	0.25415203	0.24984528	33000	0.03602958	0.15709113	-0.0007632151	-0.002246663	0.78265786	0.112558976	0.0	0.0	38.106961488723755
33	0.2631579	0.44034737	1.0	0.0	8.736842	0.20602614	0.0013035289	0.20649606	0.20239526	34000	-0.022062851	0.16718665	0.00077076256	-0.0005643666	0.80406845	0.12856406	0.522	0.0	39.211169481277466
34	0.22807017	0.4195881	1.0	0.0	8.77193	0.23009829	0.0013143991	0.23056975	0.2264172	35000	0.03081427	0.15167566	-0.008387547	-0.001005739	0.57853264	0.028894871	0.0	18.0	40.2467679977417
35	0.31304348	0.46373188	1.0	0.0	8.686956	0.19801685	0.0012806307	0.19847852	0.19444975	36000	-0.07295563	0.1934292	-0.011552118	-0.0059360564	0.6756856	-0.16360074	0.46	79.0	41.45181107521057
36	0.23684211	0.4251446	1.0	0.0	8.763158	0.2760169	0.0012950297	0.2764814	0.2723938	37000	0.080851436	0.15970594	-0.027707156	-0.004859045	0.5282994	0.05277121	0.0	12.0	42.57043409347534
37	0.2631579	0.44034737	1.0	0.0	8.736842	0.20576309	0.0011762044	0.2061871	0.20248416	38000	-0.024372589	0.16720124	-0.0026265755	-0.0005787015	0.65425175	-0.14378129	0.0	79.0	43.94619369506836
38	0.27192983	0.4449539	1.0	0.0	8.72807	0.23015271	0.0011924454	0.23058257	0.22682895	39000	-0.0018061693	0.17035486	-0.01044764	-5.8487058e-05	0.55190444	0.033987604	0.0	15.0	45.00523114204407
39	0.2631579	0.44034737	1.0	0.0	8.736842	0.23789364	0.0011994442	0.23832598	0.23455031	40000	0.0042558145	0.16668189	-4.5621768e-05	-6.313622e-05	0.7213496	0.040707286	0.0	0.0	46.06376242637634
40	0.3043478	0.4601307	1.0	0.0	8.695652	0.22984953	0.0011906985	0.23027878	0.2265304	41000	-0.034950208	0.18579791	0.00030253828	-0.0013992041	0.73212767	0.04900724	0.0	0.0	47.66055655479431
41	0.2631579	0.4403474	1.0	0.0	8.736842	0.26724556	0.0012144693	0.26768336	0.2638647	42000	0.03208076	0.16800588	-0.002299387	-0.0013831407	0.64764243	0.029742587	0.0	24.0	48.829498291015625
42	0.23684211	0.4251446	1.0	0.0	8.763158	0.22985008	0.0011537947	0.23026395	0.22661945	43000	0.019036239	0.15539709	-0.00092116185	-0.00055396557	0.6650886	0.023356345	0.0	29.0	50.09710383415222
43	0.22807017	0.4195881	1.0	0.0	8.77193	0.20615193	0.0011254124	0.20655565	0.20300229	44000	0.0049735717	0.15072909	-0.00018847408	-5.9321523e-05	0.6720605	0.017320089	0.0	64.0	51.21995425224304
44	0.2631579	0.44034737	1.0	0.0	8.736842	0.19842938	0.001121075	0.19883353	0.19530344	45000	-0.029918466	0.16760944	1.2628734e-05	-0.000985235	0.7106935	0.018618485	0.0	0.0	52.240453481674194
45	0.28947368	0.45351815	1.0	0.0	8.710526	0.22950631	0.0011373493	0.2299163	0.22634035	46000	-0.023384744	0.17785802	-8.909032e-06	-0.00057695806	0.7111157	0.017071065	0.0	0.0	53.21419835090637
46	0.22807017	0.4195881	1.0	0.0	8.77193	0.25317013	0.001147499	0.25358173	0.24995714	47000	0.04749554	0.15366483	-0.0020616762	-0.0029949397	0.67586416	0.02788668	0.0	7.0	54.27059841156006
47	0.27192983	0.44495392	1.0	0.0	8.72807	0.19886914	0.0010549844	0.19924942	0.1959292	48000	-0.038063668	0.17181195	-0.005188659	-0.0015062392	0.66676646	-0.15383515	0.0	79.0	55.57856321334839
48	0.20353982	0.40263054	1.0	0.0	8.79646	0.2371434	0.0010644925	0.23752528	0.23416647	49000	0.06564006	0.14077948	-0.021036852	-0.0036287457	0.5389758	0.052778803	0.0	12.0	56.65643334388733
49	0.28070176	0.44934204	1.0	0.0	8.719298	0.1770599	0.00096223725	0.17740674	0.1743804	50000	-0.06528766	0.17855436	-0.008273281	-0.004673481	0.66226137	-0.1517465	0.505	79.0	57.982258558273315
50	0.19469027	0.3959621	1.0	0.0	8.805309	0.24492249	0.000946994	0.2452622	0.24226876	51000	0.08337637	0.13826624	-0.023623746	-0.005746737	0.5422099	0.055187423	0.0	12.0	59.69919228553772
51	0.21238938	0.40899897	1.0	0.0	8.787611	0.16839147	0.00081885187	0.16868515	0.1660985	52000	-0.016967682	0.14191	-0.0016554352	-0.00025629997	0.65011394	-0.13809115	0.493	79.0	60.916452407836914
52	0.25438598	0.43551558	1.0	0.0	8.745614	0.18447818	0.0008284277	0.18477684	0.18217255	53000	-0.030908735	0.16423367	-0.00015990436	-0.0014110357	0.85293716	0.17952341	0.609	0.0	61.965370178222656
53	0.25438598	0.43551555	1.0	0.0	8.745614	0.22194423	0.00083451375	0.22224507	0.21962093	54000	-0.0011886981	0.16281763	-0.00030923437	2.9802322e-08	0.85126674	0.16914368	0.588	0.0	63.010311126708984
54	0.27192983	0.44495392	1.0	0.0	8.72807	0.22215717	0.0008344385	0.22245798	0.21983355	55000	-0.013086418	0.17054492	-0.00054320693	-0.00024685264	0.84718096	0.15733905	0.57	0.0	64.0194718837738
55	0.2631579	0.44034737	1.0	0.0	8.736842	0.23764834	0.00084034505	0.23795122	0.23530683	56000	0.009399631	0.16667627	-0.009152849	-5.736947e-05	0.5646237	0.03153044	0.0	11.0	65.14728927612305
56	0.35652173	0.47897178	1.0	0.0	8.643478	0.2301843	0.00083859684	0.23048806	0.22785969	57000	-0.07962758	0.2082056	-0.012238488	-0.007126704	0.6740268	-0.16457093	0.495	79.0	66.57747268676758
57	0.18584071	0.3889781	1.0	0.0	8.814159	0.3134679	0.0008005512	0.3137551	0.31122562	58000	0.16211762	0.15089563	-0.039177082	-0.023075148	0.52856666	0.060460187	0.0	10.0	67.83675217628479
58	0.31304348	0.46373186	1.0	0.0	8.686956	0.15973094	0.0005998521	0.15994719	0.1580612	59000	-0.101969555	0.2008507	0.0028501227	-0.013350964	0.7318949	0.06728798	0.0	0.0	68.85382890701294
59	0.28947368	0.45351815	1.0	0.0	8.710526	0.27577546	0.0005727222	0.2759819	0.2741805	60000	0.01743827	0.17774652	-0.001374634	-0.00047253072	0.6302708	0.022708572	0.0	32.0	69.92303490638733
60	0.32173914	0.4671435	1.0	0.0	8.678261	0.25395763	0.000567472	0.25416318	0.25238493	61000	-0.028009018	0.1913082	0.0001190491	-0.0008598268	0.7123799	0.023615746	0.0	0.0	71.48992562294006
61	0.27192983	0.44495392	1.0	0.0	8.72807	0.28361487	0.0005696568	0.28382027	0.28202793	62000	0.037309255	0.17235848	-0.00018405914	-0.0020558387	0.7166392	0.029515762	0.0	0.0	72.48551630973816
62	0.28947368	0.45351815	1.0	0.0	8.710526	0.23778647	0.00054983137	0.23798466	0.23625411	63000	-0.017085576	0.17753412	-0.0022860207	-0.00025637448	0.6654962	-0.15283369	0.0	79.0	73.82201910018921
63	0.23684211	0.4251446	1.0	0.0	8.763158	0.25402454	0.000550062	0.2542218	0.2524826	64000	0.05392386	0.15709776	-0.01995195	-0.0022527874	0.5399228	0.039096687	0.0	12.0	74.95522618293762
64	0.31304348	0.46373188	1.0	0.0	8.686956	0.20589913	0.0005329222	0.20609125	0.20441459	65000	-0.06313329	0.19231355	0.0012485869	-0.00482212	0.7153939	0.04312441	0.0	0.0	75.98928499221802
