Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.0	0.0	0.0	0.0	24.0	-2.5874605	0.037822057	-2.5151503	-2.6428504	1050	-1.4230274	6.383708	-0.7627195	-6.294479	0.94435745	-0.35195312	0.38190475	0.0	2.494375228881836
1	100.0	0.0	100.0	100.0	297.0	-0.016712213	0.016884256	0.030855197	-0.057557363	2100	-3.6768384	1403.7828	5.00679e-06	-719.05505	1.3132603	0.7228571	0.7228571	0.0	3.6902916431427
2	75.0	43.30127	100.0	0.0	238.25	26.519773	0.02823299	26.559128	26.471994	3150	2.8444655	653.0853	0.0	-1.7025146	0.31326166	-0.26666668	0.26666668	79.0	5.060033559799194
3	75.0	43.30127	100.0	0.0	218.75	27.877775	0.02130741	27.922783	27.83998	4200	3.3599746	645.80817	0.0	-0.05517578	0.31326166	-0.26190478	0.26190478	79.0	6.447304010391235
4	75.0	43.30127	100.0	0.0	234.5	28.111593	0.02151997	28.154715	28.077444	5250	3.3342667	632.89685	0.0	-0.13201904	0.31326166	-0.26190478	0.26190478	79.0	7.896890163421631
5	33.333332	47.140457	100.0	0.0	344.0	28.48063	0.02150156	28.524605	28.446497	6300	7.9751635	527.2825	0.0	-188.75409	0.31326166	-0.28761905	0.28761905	79.0	9.279428243637085
6	66.666664	47.140453	100.0	0.0	285.0	14.782628	0.010405261	14.802211	14.753774	7350	0.57093775	582.12823	0.0	-26.255066	0.31326166	-0.28	0.28	79.0	10.696301221847534
7	66.666664	47.140453	100.0	0.0	296.0	19.93836	0.013337748	19.958149	19.90359	8400	2.4273713	535.5409	0.0	-0.8078613	0.31326166	-0.27238095	0.27238095	79.0	12.105524063110352
8	66.666664	47.140453	100.0	0.0	290.0	20.823055	0.013738524	20.84443	20.788946	9450	2.849286	536.7545	0.0	-0.0005493164	0.31326166	-0.27333334	0.27333334	79.0	13.54619288444519
9	100.0	0.0	100.0	100.0	261.0	20.800467	0.013580424	20.821218	20.765757	10500	0.68555677	697.17444	0.0	-45.330627	0.31326166	-0.2657143	0.2657143	79.0	14.994325160980225
10	66.666664	47.140453	100.0	0.0	287.0	27.53319	0.016518762	27.553785	27.491344	11550	5.402944	542.8021	0.0	-29.433167	0.31326166	-0.27809525	0.27809525	79.0	16.94632863998413
11	100.0	0.0	100.0	100.0	239.0	22.099722	0.013175552	22.117954	22.062622	12600	0.029790381	810.0807	0.0	-167.75897	1.3132616	0.74285716	0.74285716	0.0	18.30371356010437
12	66.666664	47.140453	100.0	0.0	317.0	34.893406	0.01791	34.913513	34.85145	13650	5.0619273	641.6056	0.0	-137.25256	1.3132616	0.7209524	0.7209524	0.0	19.51510524749756
